country,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key_x,key_y
AE,202087.34108051338,0.6401099724434643,0.6232327544800477,5.519243562965502,-6.712704631760595,0.6177906817709802,0.07239910415931461,0.2272642975083877,0.017744425943874664,0.1630625874016652,0.4971824175119081,122.31575469871015,-0.044828598628541536,-0.0036752323086301918
AR,183476.50072184214,0.699174745063322,0.6807686122887721,5.851230604254563,-6.322395275013057,0.465140442050754,0.09001029729339294,0.24624828388490896,0.027975950379242623,0.1890158313084095,0.6319056988070852,116.98848534137254,-0.028792427449927372,0.06798988537404657
AT,186110.12143256955,0.6626022177504642,0.6571615783771556,5.427606282052937,-6.781076640279931,0.6247074964187097,0.08734684550333771,0.2220766921761554,0.024977401916441166,0.17204698078415673,0.5270154459702747,127.19113879152995,-0.001796659816368496,0.11018000646884575
AU,199350.7216430467,0.6308417026332933,0.6225023273362855,5.164554956908648,-6.71738198781909,0.7135852195977198,0.06535193417369334,0.243080321103433,0.012193402415024038,0.15873041618733108,0.5124178596388966,125.65426110128766,-0.017168096199883066,0.09879831560871367
BE,190450.67475964825,0.6556019512645114,0.6491831827345894,5.546372599014841,-6.763609804429551,0.5688876205961733,0.07609693490339159,0.26029206286851314,0.03505269732366912,0.15985829683998262,0.5250789137518325,125.43144278479146,-0.05231424695020986,0.11186775702397557
BG,197840.82068013417,0.6972192060511241,0.7482801453428329,4.99567318992144,-5.531446636602557,0.42578125927385563,0.09879698500276583,0.13503275130991355,0.014182063939059046,0.1726411639890696,0.606211071529471,133.15508181528975,-0.056162367611393094,0.00922203807648208
BO,187755.2806283306,0.7081245478548608,0.6914516359918588,6.1780957386784925,-6.098820159824784,0.5080193186694196,0.09729665678913114,0.25866234655144726,0.028559132810267073,0.17874273053457151,0.6169635183389595,121.93969874993748,0.024787592233489617,0.1250922609467633
BR,184459.71651062032,0.6817180311880338,0.7087006781657064,5.596241958581159,-4.9031613764557465,0.48670393291139064,0.1415004989392096,0.40200384090439584,0.004696112332132088,0.33778921530554934,0.6540459863992104,127.03238223259252,-0.09480046283978565,0.11082237124560734
BY,158672.81411140456,0.6892092863562289,0.6544034478914549,5.094727660131981,-6.61306807922071,0.49303491678216715,0.11345168843362916,0.20312501502609967,0.04518062592630263,0.1972101200285936,0.5425295809457481,120.96009214067848,-0.05886128176985657,0.0134293744140671
CA,199254.09454482046,0.6312149965965529,0.6072600672537963,5.321497180601192,-6.933279749489484,0.6948339033757154,0.07127540227904905,0.2600405851383228,0.010404593468864761,0.1644463434792474,0.5033118013059154,124.54815623461096,-0.0078041930585699484,0.0631268745635451
CH,192689.08967320103,0.6520509824131598,0.6435192749474976,5.456442229100391,-7.109428769885844,0.5776029701176236,0.07807205020764144,0.24810749132225243,0.037210097994049514,0.16395734592666913,0.5049294453755514,124.68392466550763,-0.037668282401604726,0.11970847574263242
CL,186840.45772122967,0.7355119589772963,0.6760081665972019,5.899865009335349,-6.5275315545891965,0.4017846757559454,0.10010274295655043,0.23460665572051323,0.033561300836659445,0.1640802043813345,0.6099628228480388,112.72511052598166,-4.26352809217577e-05,0.104769067228
CO,192736.827000694,0.7434172575216057,0.6712288626658438,5.906427584834942,-6.171816147970313,0.41234924574836274,0.12266606706317718,0.2510433878130659,0.02600022471555456,0.1691506017962786,0.5915117013647286,119.50900007369579,0.012031215221178575,0.012905429036764945
CR,194055.9999124907,0.7145300510442275,0.6609950060320646,5.859401841489158,-6.354393646220093,0.5012257770547123,0.11462400893543405,0.2837928274682692,0.030092001281502818,0.17216746399293373,0.576183099674836,120.61056784321433,0.043633226454396545,0.06552801123962738
CZ,181481.25581550607,0.6749488442938276,0.6724913919160909,5.76972152023545,-6.8523533899841365,0.5315092918170282,0.1115951067941421,0.2216811110438767,0.02494141657981945,0.17552950097342357,0.4884957931463381,128.90161314334924,-0.020377046053617686,0.039004081055429546
DE,178462.10036006698,0.6864385453107555,0.6622229472646074,5.624877186453293,-6.810097670729439,0.5695971343505769,0.10540745385187941,0.20036232793049868,0.02275336776129978,0.1672802292054336,0.5279086436081131,126.70204370580575,-0.03404183825650585,0.0852516571772047
DK,184782.33637457722,0.6883544206652363,0.659374449798598,5.18718924898612,-6.383999369975196,0.5285199861098558,0.11202681992337164,0.19375291793345523,0.006326179609955449,0.18047613633060233,0.5574598166796954,123.8926856546206,-0.023856556469235887,0.05176032693742654
DO,183203.39898887047,0.7206579873879003,0.666776233092176,5.374483189621312,-6.9540376726808395,0.4928320783445256,0.17806570875886954,0.27627387746148846,0.04253964936719844,0.17934888627144485,0.5611134210432827,121.83681839747376,-0.020786360621348594,0.006997816332173545
EC,192179.19328528058,0.7440379231457858,0.6764491417835515,5.862343980313996,-6.380233956090031,0.46301770119010366,0.11737695105782633,0.25137986443949717,0.03284472055028237,0.16063500036174688,0.5985952774249899,119.14701122374173,0.019303086914620002,0.02940342349144687
